page,wiki_length,grok_length
Macedonians_(ethnic_group),7348,3859
Azerbaijanis,4571,1715
Chileans,3232,0
Palestinians,1958,2340
Romanians,8652,7507
Montenegrins,959,2010
Mexicans,18298,1965
Welsh_people,2623,4744
Brazilians,10052,11630
Spaniards,1683,5001
Irish_people,3677,3363
Saudis,407,1649
Iraqis,3365,2914
Filipinos,6945,2121
Russians,3035,2731
Dutch_people,1973,4291
Latvians,1011,1918
French_people,1103,5678
Malagasy_peoples,2774,2981
Nicaraguans,3327,1668
Czechs,1544,2928
Georgians,346,2374
Thai_people,4509,2135
Vietnamese_people,2633,2458
Turkmens,1622,2123
Portuguese_people,3583,7518
Finns,5881,4155
Kazakhs,6980,2157
Norwegians,2814,6166
Maltese_people,2910,6124
Indian_people,229,9214
Cubans,1743,2048
English_people,4812,2790
Taiwanese_people,7184,2404
Burmese_people,1175,2595
Hondurans,993,2934
Argentines,2925,2459
Uzbeks,2876,5611
Swedes,1255,2489
Tajiks,3986,1912
Maldivians,2602,5438
Icelanders,3092,4316
Egyptians,26930,4365
Moroccans,1034,1994
Estonians,2430,4441
Emiratis,1217,2062
Ukrainians,3183,5415
Tunisians,758,3105
Ecuadorians,2881,2339
Turkish_people,3216,3709
Colombians,589,3088
Koreans,6960,2094
Ghanaians,1301,1944
Belarusians,452,2406
Syrians,9769,4481
Hungarians,15835,5285
Swiss_people,921,2616
Greeks,6220,15397
Bulgarians,3787,2486
Danes,95,2252
Slovenes,1124,5231
Ethiopians,11900,2202
Armenians,299,12193
Lebanese_people,2059,1910
Kyrgyz_people,3860,5239
Lithuanians,3512,2807
Scottish_people,0,7793
Venezuelans,0,2876
Fijians,0,2182
Yemenis,0,1764
Eritreans,0,2482
Haitians,0,2600
Jamaicans,0,2117
Cook_Islanders,0,2391
Luxembourgers,0,2897
Algerians,0,8056
Germans,0,8598
Bahamians,0,1819
Polish_people,0,3020
Austrians,0,3272
Italians,0,3095
Chinese_people,0,5827
Indonesians,0,3030
Japanese_people,0,2579
Omanis,0,4134
Slovaks,0,3339
Peruvians,0,2747
Albanians,0,2594
British_people,0,2951
Pakistanis,0,4135
Guatemalans,0,2446
Mongols,0,8617
Moldovans,0,1584
Samoans,0,1631
Costa_Ricans,586,0
Lao_people,1310,0
