	year	corpus_pages	corpus_kws	corpus_kws_pct
0	2001	47	1	0.02127659574468085
1	2002	184	5	0.02717391304347826
2	2003	381	16	0.04199475065616798
3	2004	820	42	0.05121951219512195
4	2005	1473	115	0.07807196198234895
5	2006	2303	199	0.0864090316977855
6	2007	2833	249	0.08789269325803035
7	2008	3368	292	0.08669833729216152
8	2009	3770	329	0.08726790450928382
9	2010	4100	372	0.09073170731707317
10	2011	4445	417	0.09381327334083239
11	2012	4680	448	0.09572649572649573
12	2013	4917	474	0.09640024405125076
13	2014	5096	517	0.10145211930926216
14	2015	5265	559	0.10617283950617284
15	2016	5387	592	0.10989418971598292
16	2017	5538	625	0.11285662694113398
17	2018	5616	654	0.11645299145299146
18	2019	5705	680	0.11919368974583698
19	2020	5814	734	0.1262469900240798
20	2021	5913	796	0.13461863690174192
21	2022	6045	834	0.13796526054590572
22	2023	6189	872	0.14089513653255775
23	2024	6303	929	0.1473901316833254
24	2025	6540	970	0.14831804281345565
