	year	corpus_pages	corpus_kws	corpus_kws_pct
0	2001	47	0	0.0
1	2002	184	0	0.0
2	2003	381	1	0.0026246719160104987
3	2004	820	5	0.006097560975609756
4	2005	1473	17	0.011541072640868975
5	2006	2303	38	0.016500217108119844
6	2007	2833	44	0.015531238969290505
7	2008	3368	68	0.020190023752969122
8	2009	3770	85	0.022546419098143235
9	2010	4100	111	0.027073170731707317
10	2011	4445	129	0.029021372328458944
11	2012	4680	149	0.031837606837606836
12	2013	4917	158	0.03213341468375026
13	2014	5096	166	0.032574568288854
14	2015	5265	174	0.03304843304843305
15	2016	5387	197	0.036569519212919996
16	2017	5538	211	0.03810039725532683
17	2018	5616	235	0.041844729344729346
18	2019	5705	248	0.04347063978965819
19	2020	5814	274	0.04712762297901617
20	2021	5913	294	0.04972095383054287
21	2022	6045	328	0.05425971877584781
22	2023	6189	355	0.05735983195992891
23	2024	6303	401	0.063620498175472
24	2025	6540	419	0.06406727828746177
