	year	corpus_pages	corpus_kws	corpus_kws_pct
0	2001	44	1	0.022727272727272728
1	2002	160	5	0.03125
2	2003	295	16	0.05423728813559322
3	2004	533	42	0.07879924953095685
4	2005	705	104	0.1475177304964539
5	2006	822	175	0.21289537712895376
6	2007	870	211	0.2425287356321839
7	2008	905	236	0.26077348066298345
8	2009	923	257	0.27843986998916576
9	2010	939	282	0.3003194888178914
10	2011	951	311	0.3270241850683491
11	2012	961	320	0.33298647242455776
12	2013	975	338	0.3466666666666667
13	2014	980	360	0.3673469387755102
14	2015	987	377	0.3819655521783181
15	2016	989	393	0.39737108190091003
16	2017	990	415	0.41919191919191917
17	2018	991	424	0.42785065590312815
18	2019	991	438	0.4419778002018164
19	2020	993	458	0.4612286002014099
20	2021	995	483	0.48542713567839196
21	2022	997	499	0.5005015045135406
22	2023	999	519	0.5195195195195195
23	2024	999	545	0.5455455455455456
24	2025	1000	555	0.555
